크레딧명,참여사명,배역,기타,KMDb 영화정보관리번호
제작사,한국예술종합학교 영상원 영화과,,,K18917
배급사,센트럴파크,,,K21256
제작사,한국예술종합학교 영상원,,,K21256
배급사,한국예술종합학교 미디어콘텐츠센터,해외배급,,K21291
제작사,한국예술종합학교 영상원,,,K20099
제작사,한국예술종합학교 영상원,,,K20324
제작사,한국예술종합학교 영상원,,,K20203
제작사,한국예술종합학교 영상원,,,K19293
배급사,커넥트픽쳐스,,,A08878
제작사,한국예술종합학교 영상원,,,K20233
배급사,센트럴파크,,,K19988
공동제작사,㈜영화사레드피터,,,K20897
배급사,한국예술종합학교 미디어콘텐츠센터,해외배급,,K20335
제작사,명필름랩,,,A09259
투자사,명필름랩,,,A09259
배급사,리틀빅픽처스,,,A09259
배급사,kth,,,K20826
제작사,한국영화아카데미,,,K21472
투자사,NEW CONTENTS PANDA,,,K21156
투자사,NEW MUSIC,,,K21156
공동제작사,커넥트픽쳐스,,,A09256
배급사,소나무픽쳐스,,,K21485
제작사,한국예술종합학교 영상원 영화과,,,K32449
제작사,한국예술종합학교 영상원 영화과,,,K32438
제작사,한국예술종합학교 영상원 영화과,,,K32454
제작사,키이스트,,,K17515
제작사,명량문화재단,,,A09408
배급사,㈜하세,,,A09408
제작사,반달,,,A09419
제작사,두 번째 영화제작을 위한 모임,,,K15251
배급사,㈜인디스토리,,,K19204
공동제작사,세븐오식스,,,K17515
배급사,필름다빈,,,K16500
배급사,㈜드림팩트엔터테인먼트,,,K21143
배급사,씨제이이앤엠㈜,해외배급,,K21143
제작사,KNN,,,A08982
제작사,한국예술종합학교 영상원,,,K21595
제작사,뉴스타파,,,A09650
투자사,리틀빅픽처스,,,A09650
배급사,리틀빅픽처스,,,A09650
제작사,㈜흑기사필름,,,K21143
제작사,남화흥업주식회사,,,K02001
제작사,한국예술종합학교 영상원,,,K20167
배급사,센트럴파크,,,K18205
배급사,센트럴파크,,,K18796
배급사,한국예술종합학교 미디어콘텐츠센터,해외배급,,K20158
배급사,한국예술종합학교 미디어콘텐츠센터,해외배급,,K20580
제작사,KBS,,,A08878
공동제작사,커넥트픽쳐스,,,A08878
제작사,영화사 인연,,,K21485
제작사,무치필름,,,A09405
배급사,롯데엔터테인먼트,,,A08440
배급사,㈜엣나인필름,,,A09419
배급사,반달,해외배급,,A09419
제작사,New Star Corp.,,,K28791
제작사,KBS 미디어,,,A09659
배급사,㈜영화특별시SMC,,,A09659
